individual_scores_id	overall_results_id	movement_id	Coefficient	Score	Points	Comment
104200301	1	04200301	1	7	7	straight
104200302	1	04200302	1	6	6	quick
104200303	1	04200303	1	6	6	slight bracing
104200304	1	04200304	1	7	7	forward balanced
104200305	1	04200305	1	7	7	NA
104200306	1	04200306	1	7	7	NA
104200307	1	04200307	1	6	6	neck short
104200308	1	04200308	2	7	14	elastic stretch march
104200309	1	04200309	1	4	4	broke
104200310	1	04200310	1	7	7	prompt
104200311	1	04200311	1	7	7	smooth
104200312	1	04200312	1	7	7	NA
104200313	1	04200313	1	6	6	slight loss of balance
104200314	1	04200314	2	7	14	active well stretched
104200315	1	04200315	1	7	7	NA
104200316	1	04200316	1	6	6	smooth turn clear bend not square or straight
211200301	2	11200301	1	7	7	Straight and square
211200302	2	11200302	1	6	6	Needs more impulsion, smooth on turn, not tracking up
211200303	2	11200303	1	6	6	Slight counterflex, not tracking up
211200304	2	11200304	1	6	6	Show more
211200305	2	11200305	2	6	12	Slight distract at I but fairly smooth
211200306	2	11200306	1	7	7	Smooth
211200307	2	11200307	2	8	16	Very elastic active marching 
211200308	2	11200308	1	7	7	Prompt
211200309	2	11200309	1	7	7	Quite smooth well balanced more engagement
211200310	2	11200310	1	8	8	NA
211200311	2	11200311	1	7	7	Slightly large
211200312	2	11200312	1	6	6	Could be more engaged
211200313	2	11200313	1	7	7	Smooth and straight, slightly low in poll, shortened
211200314	2	11200314	1	6	6	Needs to show more length and uphill
211200315	2	11200315	2	7	14	Avoid bouncing rein
211200316	2	11200316	1	6	6	Show clearer bend on turns, walked into halt
303200301	3	03200301	1	7	7	straight entry moment of inattention
303200302	3	03200302	1	7	7	well between aids
303200303	3	03200303	1	7	7	NA
303200304	3	03200304	1	6	6	a little tension over topline
303200305	3	03200305	1	7	7	fluid
303200306	3	03200306	1	7	7	NA
303200307	3	03200307	1	7	7	well performed
303200308	3	03200308	2	8	16	supple
303200309	3	03200309	1	5	5	tense, losing rhythm at beginning
303200310	3	03200310	1	7	7	NA
303200311	3	03200311	1	7	7	balanced
303200312	3	03200312	1	7	7	NA
303200313	3	03200313	2	6	12	slow to develop
303200314	3	03200314	1	7	7	NA
404200301	4	04200301	1	7	7	straight, nicely between aids
404200302	4	04200302	1	6	6	could be more forward and steady out to contact
404200303	4	04200303	1	6	6	prompt, more from behind
404200304	4	04200304	1	7	7	well balanced and well bent
404200305	4	04200305	1	7	7	NA
404200306	4	04200306	1	7	7	NA
404200307	4	04200307	1	7	7	NA
404200308	4	04200308	2	8	16	elastic stretching, some slight tension in medium walk
404200309	4	04200309	1	6	6	NA
404200310	4	04200310	1	7	7	fluid
404200311	4	04200311	1	7	7	could be more energetic
404200312	4	04200312	1	7	7	well balanced
