judge_id	judge_name	judge_gender
17	Anita Owen	F
1	Barbi Breen Gurley	F
6	Bonita Baumgartner	F
19	Brent Hicks	M
40	CeeCee Moss-Giovannetti	F
38	Christel Carlson	F
27	Coullen Glass	F
10	Creeky Routson	F
35	David Schmutz	M
26	Dinah Babcock	F
23	Dorie Vlatten-Schmitz	F
30	Fran Dearing	F
31	Gary Rockwell	M
32	Ginny Bergman-Wailes	F
9	Heidi Gaian	F
25	Hilda Gurney	F
20	Jan Curtis	F
11	Jayne Ayers	F
3	Jennifer Roth	F
18	Joan MacCartney	F
33	Jonathan Burton	M
8	Laurel Bruun	F
21	Laurie Falvo Doyle	F
29	Linda Zang	F
16	Louise Koch	F
13	Lyn McEnespy	F
15	Margo Hoagland	F
12	Marlan Cunningham	F
39	Marlene Schneider	F
4	Mary Grace Davidson	F
24	Melissa Cresswick	F
22	Melonie Kessler	F
36	Mike Osinski	M
2	Nancy Benton	F
37	Pam Nelson	F
14	Paula Lacey	F
7	Peter Lert	M
42	Susan Mandas	F
34	Tracey Lert	F
41	Ulf Wadeborn	M
5	Wayne Quarles	M
28	William Solyntjes	M
